sku,price,description
SE-HP-MOSAIC-BX-12PK,19.99,"The Mosaic Pipe is hand-crafted with swirling tiles of color fused right into the glass — every single one is different, and yours is yours alone. It hits clean, packs easy, and looks incredible sitting on any surface. The kind of pipe you keep forever."
SE-HP-SPOON45-BX,14.99,The Ring Neck Spoon turns heads before you even light it — that coiled neck slows the smoke down and cools it slightly so every hit is softer and more flavorful than you'd expect from a hand pipe. It's a conversation starter AND a daily driver.
SE-QBNG-ETCHBCKT-14M-BX,14.99,"Etched quartz bangers hold heat longer than plain ones and release it more evenly — which means lower temperature dabs with more flavor and less cough. The hand-etched designs make every banger a tiny piece of art. 14mm male, fits most rigs."
SE-WP-DONUTIRI5-BX,35.00,"The iridized Hypno Hoop Mini Rig will have you staring into it between dabs — the circular chamber creates a hypnotic swirl with every pull. Compact enough to take anywhere, hits clean enough to be your daily driver. The 14mm quartz banger is already included so you're ready to go right out of the box."
SE-WP-FUMRECYC5-BX,40.00,"The Klein Stein is the glass nerd's rig — the iridized recycler pulls smoke through a continuous loop that filters and cools it until it's impossibly smooth. It's science, it's art, and it's the best dab you've had in a long time. Quartz banger included."
SE-WP-INCYCFAB5-BX,40.00,"The Dyson Sphere is basically a science experiment you get to smoke out of — the iridized ball recycler spins your smoke in circles, stacking filtration and cooling it beautifully before every hit. It looks futuristic, it rips silky smooth, and it will be the most-talked-about piece at any session."
SE-WP-LEAFNECKBASE,30.00,This iridescent beaker hits as good as it looks — the long leaf neck cools every pull before it reaches your lips. The swirling technicolor glass means yours is truly one of a kind. A piece that looks expensive and delivers every session.
SE-WP-MARBLEDRIG6-BX,60.00,"The Miragestone Rig looks like a piece of art and hits like a champ — the marbled finish means no two look the same, and the built-in banger means you're ready to dab the second it's in your hands. Compact, smooth, and genuinely beautiful."
SE-WP-ORACLEORB-BX,79.99,The Oracle Orb does what a great pipe should — it looks stunning and feels incredible in your hand. The orb chamber and unique flower bowl combo makes every bowl feel intentional. Put it down and it's a conversation piece. Pick it up and it delivers every single time.
SE-WP-TUBE10,30.00,Ten inches of iridized glass that catches the light from every angle and hits like a dream. The wide tube gives you massive airflow and the iridescent finish shifts color with every move you make. This is the centerpiece piece — the one that lives on your coffee table and impresses everyone who sees it.
SE-WP-TWISTBKR8,30.00,"That twisted neck is more than a flex — it slows the smoke down and cools it before it hits, turning every rip into something genuinely smooth. Hand-crafted, so no two are exactly alike. Classic beaker function meets a shape nobody else has."
VP-TRPPEN2,1440,"The Terp Pen 2 is the simplest concentrate experience you'll ever have — dip the tip into your wax, inhale, done. No loading, no waiting, no mess. The 2.0 upgrade made the atomizer smoother and the draw more consistent. Your most grab-and-go concentrate option."
WP-DONUTMACSTAR7,30.00,"The Slime Donut Macaroni-Star is the kind of piece that makes people stop and say 'what IS that?' — and then immediately ask where you got it. Beyond the wild shape, it rips smooth and hits clean every single time. Grab it before someone else does."
WP-SPOREORBRIG,15.00,"Small size, massive impact — the Spore Perc Dab Rig turns concentrates into the smoothest hits you've ever taken. That spore percolator scrubs harshness out of every dab so all you taste is pure flavor. It's the rig that makes you wonder how you ever dabbed without it."
WP-WIGWAGDONUT6,30.00,"The Wig Wag D'OH-nut is pure eye candy that actually delivers — the donut chamber percolates every hit into something silky and satisfying. The hand-pulled wig wag glass means yours looks different from everyone else's. Sweet to look at, sweeter to smoke."
YOCAN-EVOLVE-PLUS-XL,480.00,"The Evolve Plus XL is the wax pen that wax pen lovers recommend — 1400mAh means you'll go days between charges, the XL coil loads more concentrate at once, and the hits are smooth enough to take back-to-back without thinking twice. The upgrade your sessions deserve."
YOCAN-FLATPLUS,600.00,The Flat Plus is a 900mAh flat-form battery that disappears in your wallet pocket until you need it — variable voltage dialing and a satisfying press-and-hold preheat that primes your cart perfectly every time. Slim never looked this good.
YOCAN-KODOPRO,1200,"The Kodo Pro stands upright on any surface so you're never fumbling around looking for it — it just works with every 510 cart, hits consistently every time, and the compact box-mod shape fits anywhere. The battery that quietly becomes your favorite."
YOCAN-POCKET,900,"The Yocan Pocket is a wax pen that earns its name — 1400mAh battery, built-in wax chamber, and a hit so smooth you'll use it twice as often as you planned to. Load it, click it, pocket it. No torch, no dabber, no problem."
ZAZA-GND-63-4PC-WNDW-ASST,1680.00,"The ZaZa 63mm Window Grinder lets you watch your herb grind through the transparent lid, so you know exactly when it's ready. Four-piece aluminum construction, sharp diamond-cut teeth, and a deep kief catcher that collects everything. The grinder you'll actually be proud to pull out."
ZZ114-48,2.50,"The classic orange pack that's been trusted for generations — Zig-Zag 1¼ Orange Papers roll smooth, burn even, and never fight you mid-session. Grab a few packs so you're never stuck without them when it counts."
ZZ114C24,2.50,Zig-Zag Ultra Thin Cones are pre-rolled and ready to pack — the ultra-thin paper means the only thing you taste is what you put in them. Stock a few packs and you'll never have to think about rolling again.
ZZHMP48,2.50,"Zig-Zag Organic Hemp Papers burn slow, taste like nothing, and roll like they were made for your hands — because they were. The 1¼ size hits the sweet spot for a solo or shared session. Grab a few packs and keep them stashed wherever you need them."
ZZUB11424,2.50,"Zig-Zag Unbleached Cones are pre-shaped so you can skip the roll entirely — just pack, twist, and light. The unbleached natural paper burns even and clean so all you taste is your herb. Grab a pack and you're set for a while."
